../../data/leslie/word2_5.png a
../../data/leslie/word2_9.png a
../../data/leslie/word3_6_1.png o
../../data/leslie/word3_6_2.png f
../../data/leslie/word2_3_1.png u
../../data/leslie/word2_3_2.png p
../../data/leslie/word2_3_3.png d
../../data/leslie/word2_3_4.png a
../../data/leslie/word2_3_5.png t
../../data/leslie/word2_3_6.png e
../../data/leslie/multivariate_0.png m
../../data/leslie/multivariate_1.png u
../../data/leslie/multivariate_2.png l
../../data/leslie/multivariate_3.png t
../../data/leslie/multivariate_4.png i
../../data/leslie/multivariate_5.png v
../../data/leslie/multivariate_6.png a
../../data/leslie/multivariate_7.png r
../../data/leslie/multivariate_8.png i
../../data/leslie/multivariate_9.png a
../../data/leslie/multivariate_10.png t
../../data/leslie/multivariate_11.png e
